,0,1,2,3
22,1,11854,perfect in this price range .go for it . absolutely amazing one .u will feel no delay in pubg sound .the sound is perfectly synchronised with the game .i bought this for playing pubg mainly .so pubg users if u r looking for a good headphone under 2000 then this is it .if my review is helpful then hit likeREAD MORE,5
23,1,11927,1st of all its very popular and boat is very good in sound production they have heavy and punchy bass which is nice used many boat ear phones and the experience was nice and with this boat rockerz 400 its even better yes it will feel uncomfortable if you have been fond of over the ear headphones rather than that sound is great bass is awesome build is good design is stylish battery backup is also preety good...If you are buying an on the ear headphone for the 1st time and never used an over t...READ MORE,5
24,1,12471,"I bought in a flipkart sale at Rs999 and I must say it's worth at this price ,bass is pretty cool , sound quality is awesome .Bt I still Give 4 star to it becoz it's little uncomfortable if uh wear it  more than 10min. your ears start getting pain bt after some week you'll get used to it?READ MORE",4
25,1,13282,Stylish Beautiful and best BASS quality...It feels like.heaven !! LIstening through this is fun...happy for this purchase..grabbed at just Rs.1099/ maybe the cheapest till now...bit tight bt maybe I'll get used to it!!Best wid Windows 10 as well..loved itTHANX FLIPKART!!READ MORE,5
26,1,15494,"This product is very good.1. The super extra bass is working properly.2.battery backup is best normally 8-9 hours.3. charging time is correct as description as product details.4.in the box a audio plug, charger cable,warranty card, user manual,etc.5.With high definition balanced sound.6. Next & previous function not working in laptop but it works in mobile.READ MORE",5
27,1,16377,"This is my honest review after 10 months of use. I bought this for 1499 from flipkart.If you are a bass lover go for it without any confusion.The base is very punchy you can feel your ear vibrate with thisPros:-* Punchy bass. Dont know if any other headsets can provide this much bass* Mids & treble are crystal clear. You can hear every instruments* Battery backup is excellent. I,m getting upto 3 days with above moderate use and if used accordingly we can push upto a week.* Charges quic...READ MORE",5
28,1,16913,I give reviw after 7 month using  this is awesome  working Nd good condition yet ....  Best use for gaming movies song high &  loud quality Betty backup is good  i feel more than 8 hour it's work  but I can give 4 star cause u  feel disappoint while callingREAD MORE,5
29,1,17434,this headphones are very good in this price range go for it sound quality is excellent and it provides a great bass build quality is excellent battery backup is greatgo for itREAD MORE,5
30,1,17663,excellent sound quality with superior bass backed with great battery power and feather light  built quality... Mind blowing purchase..  good  for music enthusiasts.. and wise choice to purchase this at this price range... I'm totally loving it!! 😘READ MORE,5
31,1,17984,It's amazing but one problem is after 1 month it's USB code didn't work properly .But overally it's a nice product .READ MORE,5
32,1,18031,Pros=        Vocals are great love it        Bass is decent        Battery is 7-8 hours        Built quality is good looks premium also foldable Cons=        Connectivity problem appears when you use on terrace          and put phone on a pocket maybe due to bluetooth 4.1Conclusion = A Great Purchase of no doubt                          Best buy even you purchase under 1400                         I suggest buy on offer or sale I purchase it for                                   ...READ MORE,4
33,1,18313,"A very good product by boat. I like the design of headphones and sound quality is very very good, battery backup is also very good. I am using it for playing pubg and listening music. I just loved the product.READ MORE",5
34,1,18361,good product in cheap price even very better than JBL first I also buyied JBL but it is not so good but this is very better than itREAD MORE,5
35,1,20076,"Bought it for 999 it's definitely worth for the amount we are paid to get those,Pros1. High Bass with HD Sound Quality (Use Poweramp Music Player to get best of this headphone).2. Battery Backup - Those who use 3-4 hours daily will have a battery backup of 3-5 days (Tested with my limits).ConsBut it will not be able to make you feel comfort and you will regret after buying one of these for the reasons which can easily sort out by the manufacturer.1. The Ear Cushions which are not ...READ MORE",4
36,1,20467,"TOTALLY IMPRESSED BY ITS SOUND QUALITY, SATISFIED ,BRILLANT,NICE,WORTH IT!!!!! ..........Value for money. 🤑🤑1.Sound quality is very clear and crystal🤗🙌2.BASS quality is superb....... especially for the Dj remix songs 👂3.the colour(white,gery) is much good looking 4 But the mic is little bit bad. We or the other speaking person not able to hear our voice properly.....in calling time 5.Also the fitting is  quite good but not as much because it is little bit tight over the ears...........READ MORE",5
37,1,20848,"Bang for the buck.Really great headset. Best headphone at this price.The build quality is very good and it is sturdy and light weight .The sound quality of this headphone is seriously very good and the bass is really amazing. Don't think about others, just go for it. ❤️❤️❤️❤️READ MORE",5
38,1,21228,"Not good at all only because of one reason the headphones don't cover your whole ear and placed over the year which is not comfortable. You can't wear this for a longer time because it starts hurting you. So, try for another one in this price range. There are many available at this cost and better than this.READ MORE",1
39,1,21713,not good packaging but still satisfied with the product worth for money i liked it so much🤙you guys should go for itREAD MORE,4
40,1,22602,One of the best wireless headphones under 1k. Bass is so good and the speciality of boat is it is loud the mids are well contained. Overall satisfied with this headphones.READ MORE,4
41,1,23576,"Hey fellows .. the headphones are awesome superb base,superb built quality with metal holders      too good . I got it for Rs.999 .. u may get it fr d same rate on salesREAD MORE",5
42,1,23612,Good choice best bass and sound quality very good I like this productREAD MORE,5
43,1,24326,It's a nice product with nice build quality and sound quality also battery backup is good overall product is nice with this price 999 Bluetooth range is also good upto 10-20 meter mic quality is also goodREAD MORE,4
44,1,24389,This is the best head phone that I never hark the base like this headphone and wonderfully performance when I played games in my pc.I suggested to people to buy this head phone name boat Rockerz 400READ MORE,5
45,1,24834,it's very amazing product bass quality is excellent 👌👌👌battery even better 👍👍👍👍👍it's look very amazing 👌👌it's come with couple of cable wich include charging cable and another to use as wired headphones 👌👌👌I wrote this after one day use Again this is very amazing product 👌👌👌👌👌🤝🤝🤝READ MORE,5
46,1,24845,super duper hit bass and sound quality is best battery backup is very very best and beautiful  and color the best. money is the best productsREAD MORE,5
47,1,25164,"Pros-- Excellent Battery Backup (nearly 7 hrs)- Good Bass - All in One -  Wired and Wireless, Built in Mic, Play/Pause, Receive/End Call- Good Build Quality- Worth the Price...I got it at ₹699(₹300 Cashback from PhonePe) only...Cons-- Bass is nothing until using Bass Boost.- Worst Sound Quality when connecting to 3.5 mm jack- Need to Speak loudly while talking to Someone..Also Voice is very Low ...so needs to listen carefully....READ MORE",4
48,1,25182,This is my first product from Boat and this Headphone is just awesome 😀 . The sound quality is just amazing and it's very loud . You can feel the Vibration when you are playing music. This Headphone comes with one year warranty which is just super . The packing of the product is soooooo good . The design and build is just appreciated .Even Celebrities can use this Headphone . This Headphone is very cheap but its performance is incredibly wonderful . Don't think just buy it now . If you found...READ MORE,5
49,1,25214,Excellent jst awesome product... Love it at 999 it is bestREAD MORE,4
50,1,26145,i dont know how people give 1star to this product. this product should be given 4.5 stars bcoz it has superb bass as well as battery backup is extremely good. can watch almost two movies at a time and after that can use the wire given in it ❤️ appreciation for such an amount is needed for a product like this.writing this from mumbai andheri! atlast mumbai style ka review product bohut hard hai .READ MORE,5
51,1,26661,Best headphone under 1k....I m really impressed with the battery backup (8hr) when continue listening with medium volume..Sound quality and extra bass is also good.It's cushions is not so soft but it is good & comfortable.READ MORE,4
52,1,28158,Really impressed with this...I was using in ear Sony Bluetooth which I was very much addicted n not convinced with any other over the head phones...but this 40 mm BOAT rocker's really rocked n I use this more now...technically its worth for the price ...n I am happy customer of BOAT brand...congratsREAD MORE,4
53,1,29123,I used this headset for quite a while it is very comfortable and is handy.I own a jbl t 350 but i think the build and design of boat 400 is better thank you flipkart.READ MORE,5
54,1,29703,if i talk about the sound quality of this i want to rate 100+....very awsm quality of deep bass and very peaceful to my ears....  design - i liked this thing very much... because one of my friend owned this awsm product from him i get to know about this wonderful product i am in a search of.. sorry i cant say anything much about battery  back up because i am writing this review within 1day of this product delivery...      I LIKED THIS PRODUCT ......HOPE U ALL                   _______-SHI...READ MORE,5
55,1,30681,Good sound quality in reasonable price Colour is amazing Volume set up is not much good and semi comfortable for wearing purpose but all over good productREAD MORE,4
56,1,31001,"Great product. And the color white and green is also so great. Trust me on this one, this is a great product.READ MORE",5
57,1,32305,Yes good and provides good bass. From a student giving ICSE 2020 BOARD EXAM HOLY angel school rajpuraREAD MORE,5
58,1,32592,Light weight and Stylish. Good sound quality bass can be better and has good battery back up. connectivity is low otherwise a great product.READ MORE,5
59,1,32635,Awesome product worth moneyNice sound nice build nice design but.....Only thing that didn't give this a 5 on 5 is The east cups are small and cushion it's not that appreciable it hurts your ears if you wear it for long periodsREAD MORE,4
60,1,32923,"excellent headset . good build quality,8to9 hour run time,  sound quality is also good in this price. i pay 900 for this. thanks to flipkart for giving us this type of sale.READ MORE",5
61,1,33697,"Its a decent good product for the price ,since I am using it for 4-5 month and I am not facing any issue with the sound  , the sound of this headphone are just satisfying and best in this price i must say , and talking about battery backup this headphone comes with a good battery  long lasting hence i used to play 1-2 hour daily so battery remain till 5-6 daysProblemThe only problem i faced after 1 month  with this product  is its Bluetooth range  and which problem is common in every Blueto...READ MORE",4
62,1,33716,It's product is really too good . I'm really very happy with it bcos it's only for those who want a bajact WIRELESS headphone everything iss good with it only a it's looks sometime I feel is simple but it is not my cup of tea but if u r looking only for looking then u can go for others also but it's praformes iss too gud in this price i got it in Rs 1100✌️✌️READ MORE,5
63,1,33872,"Sound quality is good , bass is also decent but look wise it is not that much great overall I prefer boat rockerz 450 over Boat Rockerz 400READ MORE",4
64,1,37284,This headphones is very good for regular use but you can't use 3 or 4 hour because the cusion quality is not decent but in this price range this is awesome.... And better than zebronics zeb thunder infinity by jbl because its driver is too bigREAD MORE,5
65,1,37834,"The reason for choosing this one over all others---it works both with bluetooth and aux cable(wired).so bhagwan na kare agar bluetooth kharab ho jae toh u can still use aux cable to use it as wired. It's one advantage and a big one over others. Two in one. It's tight fit, ears will pain after 30-45 mins, but It mit get loosen with time. Voice is good, connectivity working fine till now. Bass is good. Looks good built wise. In short, leke baat khatam karo. 1399 me aur kya chahiye.READ MORE",5
66,1,38080,This bluetooth headphone really worth for money it has superb bass with best sound quality and build extremely unbelievable don't think for by just by right now  really really awesome broREAD MORE,5
67,1,38082,"Headphone is good ..but it is not working reduce its sound and to do more.. in which the song has been given to return and back , its correct but it is just right to make the sound of the song more  is not...READ MORE",5
68,1,38475,Boat Rockerz 400 is very good headset. It has perfect bass for listening songs although I am a Lenovo k6 power user I have Dolby Atmos on my phone l run it on it. It gives me very good performance.l like the build quality. Boat is always my favourite headphone company.                 Thanks Flipkart and the seller.READ MORE,5
69,1,39423,"Best headphones under 2000. Good bass ,good sound quality, but not good battery backup.but overall the best headphone is boat rockerz 400 one more problem is that low Bluetooth connectivity .READ MORE",5
70,1,41074,overall its a nice product ... bass is good .. voice accuracy is little inaccurate while playing songs .. battery backup is also good ... range is not actually 10m within 6-7min range it can be used... overall its a good product or we can say the  best value for money deal specially during the sales .. it little tight on ear .. so it can not be used for the day long ... except the mentioned issues it's very nice..READ MORE,4
71,1,43985,"Nice product.....good sound , bass. Solid build. Best headphones under 1500. -2 stars for comfort and battery .. delivery was also pretty late 6-7 daysREAD MORE",3
72,1,44243,Better than other competitors in this price segment....its way better than jbl t500bt which is price d at 3k....its competitor in terms are sound quality is sony wh ch 500 which is available at 3k in big billions ..go for it...my advise to those are thinking to buy one good pair of headphones is go to chroma or reliance digital and check the sound quality of various ranges of headphones and then buy one according to your budget.READ MORE,5
73,1,44397,This is One of the best headphone coz features and quality is superb design is also cool. super extra bass and wireless function are also given. Music playback time is 8Hrs which I like the most. Guys go for it don't thinkREAD MORE,5
74,1,45493,ya this is best device  great voice and bassgreat design &. look i personally like itand you can try very fast deliveryREAD MORE,4
75,1,47476,Pros:1) Sound quality is well balanced for Indian music.2)Every instrument as well as vocals can be heard clearly.3) Battery life is awesome easily lasts 8-9 hrs in a 3 hrs charge.4) Connectivity is decent goes up to 7-8 mtrs without any issue.5) Headphones are quite sturdy (my headphones gave fallen couple of times from a considerable distance but nothing happened)Cons:1) Ear cups are not that soft (gud for 1.5-2.5 hrs of use) after that it starts bothering your ear.2) Size & fit co...READ MORE,4
76,1,47746,best headphones in this price segment.. the best about this is that you can get this at 999 and get the sound quality of 3000 or 4000 headphones.. in love with boat Rockerz 400..READ MORE,5
77,1,47800,battery backup is good design is also good sound clarity is best and bass is awesome.  this earphone has a snug fit means it will fit accordingly to your head size and bluetooth pairing is also fast. So overall its good. A must buy .READ MORE,5
78,1,48482,amazing prize and the product is outstanding I just love and love it I just recommend this headset to all just mind blowing product..READ MORE,5
79,1,49298,"Everything is betrer and sound quality is awesome, battery backup good not excellent and design lovely looks. I LOVE THIS so again thank you for Flipkart and thank u boAt.READ MORE",5
80,1,50104,"Awesome sound quality in the beginning I was like 8 hrs of battery backup will not be sufficient for a music lover like me , then after purchasing & starting using it I came to know that I don't listen to music for more than 3 hrs a day so I can use it for almost 3 days in a single charge so I am over all happy with this headphone for everything a recommended product by me .READ MORE",5
81,1,50342,nice osm quality thank you Flipkart love you 😘. goodREAD MORE,5
82,1,51460,these are the best headphones...thanks to Flipkart for selling at 999....if u get it at this price then this is the best earphones in these price category...pros1.good bass2.nice sound quality3. battery backup of 8hrs pluscons1. takes 2 hrs to charge fully2.felt call flickering sometimes3.built could have been improved to hide the connecting wire between earpiecesoverall I have used JBL t450t and Sony headphones...and this one is good in terms of sound quality at the price of 999.....READ MORE,5
83,1,51480,"great product at great prices.ordered after a lot of search in YouTube. so at last ordered it.using it for more than u days. now i m writing review of it.review -  this is the best wireless on ear headphones with great brand value. i didn't find any cons. sound quality , bass , everything is great. very compact.battery pack up is awesome. (on standby usage using it for more than 7 days)looks great , stylish. no pains on my ear.   must buy.thank you.READ MORE",5
84,1,52036,Good Wish master is very polite with helping natureREAD MORE,5
85,1,53245,"I'm writing this review after almost a year of purchase of this headphone. 1. Excellent budget headphone. However, there is no 'extra bass' as advertised but the sound quality for a low price of ₹999 (I bought the headphone on BBD sales) is really good. 2. Wireless connectivity is also good along with good battery backup of the headphone.3. The grip of the headphone on the head is really good, even if you do sudden head movements or enjoy the music by rhythmicly bobbing your head, the head...READ MORE",5
86,2,1169,the sound quality is superb all the bass lovers will like it ...given the price tag one can't ask for anything better than this only reason I'm giving one star less is that while using it on Bluetooth mode the microphone doesn't work at all so there is a mild disappointment.READ MORE,4
87,2,3022,bass is not so good like digital so I return it but very impressive with flipkart s refund only in 2 hours my money will deposited in my bank account this policy is very impressive by flipkartREAD MORE,1
88,2,3922,"overall good headphone with great build quality, but at starting little bit uncomfortable on ears but once you are comfortable with it, it's a nice headphone to go on withREAD MORE",4
89,2,5436,Headphone Too much tight on ear.Boat think our ear made by real rocks.but no.Human used they headphone.sound quality good but comfort are okok.battery also okok.But in this price 899.This was a good deal.so i booght it.READ MORE,5
90,2,5461,Amazing sound Super bassBattery life excellent Aux cables great quality Excellent treble and base Everything is good except for design. Ears are paining if used for more than 1 hour continuously. Otherwise a great buy for me as I got in offer for 799READ MORE,4
91,2,5885,"only issue is Bluetooth range its support upto 15 fit for calling, 20 fit for song after that you get voice breakmic is not good for calling.Use for only music n enjoy nice sounds quality and base.READ MORE",3
92,2,6063,"I rate this product according to the price i got it at the Price of only 999 so at the price of 999 this is ths best available Bluetooth headphone in tha market.I have been using it for more than 3 months now. Still the battery backup is like 7 to 8 hours in full volume. The audio quality is just awesome in its price range. Descent low and mids, perfectly equalised highs and yes it perfectly fits too. No uncomfortableness.READ MORE",5
93,2,9731,"Awesome product guys you should go for it and believe that the bass is awesome, fab, mind blowing and what not. I would also like to thank flipkart for awesome deliveryREAD MORE",5
94,2,10111,One of the best product ever I used and I really want to say it is must buy and enjoy by everyone. the beautiful product and I have ever used all the headphones which are not compared to this product one thing I just want to say I loved it.READ MORE,5
95,2,10140,"This is my first review on Flipkart as this is my first purchase from them. Now about Boat Rockerz 400 wireless headphones, if you want a decent, 3D surrounding, home theater feeling, excellent clear, crisp beats around you when you are in mood to listen some good music just don't think twice and obviously pick this product before the stock ends. I am so glad to have this product within this price range. Issues about this product are minor and to be settled within few days of usage. I am also...READ MORE",5
96,2,10288,Such a nice product with super sound quality battry backup is awesome working 6 hr after one time charge Bluetooth connectivity range is not so good but overall nice product.. Call not works properly..READ MORE,4
97,2,10610,"Great headphones. Nice sound quality and bass, very convenient to carry and perfect snuggle fit around the ears.got them at a great bargain for 700 during flipkart sale.READ MORE",5
98,2,10751,"Excellent product with high quality sound with clarity, crisp and high bass.Perfect in this range and that too wireless.Better than jbl, moto, etc...Fits well n superb n soft cushion.READ MORE",5
99,2,11285,"I got this headphones for 1400 and for that price range these headphones sound pretty awesome , based on sound you won't be able to differentiate them from the higher end headphones, the best part about them is the base the produce it's amazing.READ MORE",5
100,2,11408,It is too tight and paining with in 20min of usage. Compatability with mobile phones is not that good. I tried with Zenfone Pro M1 and Honor View 10 mobiles. volume up and down buttons not working as expected. Those buttons are always changing songs. Call clarity is actually worst. I tried in almost 10 different devices. Voice always get disconnected. Only good point I see is audio quality and bass is good while listening songs.READ MORE,1
101,2,11691,Nice head phones. Red n black combination looks good. Sound quality is very nice ( impressive bass). Not so good for calling purposes (Poor mic; person on the opposite side cannot hear voice properly). Good battery backup but headphones are very tight on ear; difficult to use it for longer time.READ MORE,4
102,2,11692,"Very very very nice product. High bass quality headphone. No ear damage. no heating problem after long use. Once we charged for about 1 hr. It gives long backup i.e. near about 5-6 hrs.Please Avoid over charging for good battery backup. Nice and good product.If people want to enjoy music word, choose this one.very best product.READ MORE",5
103,2,11868,Pros:    Good Sound Quality(not too much better than a local simple earphone)    Nice connectivity(utna bhi nahi)Cons:    My ear pains after using it  for around 30 min.(needed more soft material for the speaker's soft parts )READ MORE,1
104,2,11945,Good product good conectivity good sound and good battery backup i have been using for three days my only problem is reagarding its fit it is very painful to wear it for more than fifteen minutes . I think every should rather go for in the ear or over the ear headphone trust me on the headphones are not at all comfortableREAD MORE,3
105,2,12874,the product is good but  vocal clarity is not good ....... but this this price range is goodREAD MORE,1
106,2,13282,I received a quick delivery from flipkart. The headphones are light weight and foldable which makes it easy to carry. Sound quality is decent. Bluetooth connectivity is very good. The only negetive aspect of this device is the call quality. It's terrible. You can hear the other person but the microphone on this device is so poor that you won't be audible on the other end. It definitely doesn't support handsfree calling. I tried using the cable to call but again it didn't improve much. This is...READ MORE,3
107,2,13794,I love this product very muchI like the bassand beat too... I love it.. Thnx boat and FlipkartREAD MORE,5
108,2,14372,it's been 2 months i bought this .honest review*material quality is pretty good *but its mic is not good to talk in phone*one can easily hear what song u r playing if anyone nearby youREAD MORE,4
109,2,14546,I am saying this after using this product for 4-5 days. it's a bit tight like you can't(infact we should not) use it for more than 30 min. it fits good. design awesome 👌. sound quality is just fabulous and bass is also good. I will strongly recommend this product if you like to listen music on the goREAD MORE,5
110,2,14603,"headphones are awesome , but you may feel some inconvenience because the headphones are too tight . it may be some uncomfortable to you upto some days but coming to the sound quality it's good and bass awesome . when u are listening using wire it's bass is high compared to the bluetooth. it won't slip from your head even u are running.Finally it's a good product and I will give 4.5/5 rating to it.READ MORE",5
111,2,15604,after 1 day experience good headphone with awesome quality of sound the biggest thing is you can also connect this by wire this is the best feature but not satisfied with base as 5 star so i am giving 4 starREAD MORE,4
112,2,16913,PROS:1. Battery last long all day.2. Bass is too good at this price.3. you can attach cable if battery is dead.4. Connect so fast with Bluetooth.CONS:1. If you wear this minimum 20 minutes your ears 👂 will  hurt.2. Sometimes it gives connection problems.3. Sometimes you will hear little BEEP sound while connected with Bluetooth.4. Audio quality is not good it's only for bass lovers you literally can't hear any vocals sometimes.READ MORE,3
113,2,17434,The product is too good bass and sound clarity is superb ..that too with call answering option in wireless..The best one I got from Boat ...was looking for a wirless headset for a long time..but prize was  a bit higher all the time...so I waited for the offer period ..luckily I got it that too for a best buy at 1199 now its almost 3k..this is mi second purchase from boat ..keeps the quality maintain all the time..I am very satisfied with my purchase...recommended to everyone looking for both ...READ MORE,5
114,2,17566,"fabolous product i got. after watching so many reviews on youtube about this product i finally purchased it at 1200 inrand what i got, a superlight weight accessory which delievers crisp clear sound with perfect bass balance, and also the wireless conectivity and aux cable fullfill my all conditions, batteru backup was same as mentioned on box ie 8 hours.  go blindly instead of buying jbl or moto pulse/pulse max under 1500..READ MORE",5
115,2,17643,This is what I wanted. I got it @INR 999. I am seriously loving this product. boAt team you have done exceptionally well. The thump it provides in Stellio along with the bass is the one to listen for. I highly recommend this product. Kudos team boAt!repeated review:deducted 2 stars for the pain it causes on my ear. A type of headache on listening for only 15 mins.Guys you need to work on the structure and comfort of the  headphones.Hope I didn't get rude!READ MORE,3
116,2,18313,Just awesome. I will highly recommend this one. I have used JBL and SONY but this one is far better than those. You can't find a better wireless headphone with in 5K. Bass and sound clarity is just awesome. You will be amazed if u play with wire.READ MORE,5
117,2,19526,"Very light, fits perfectly tight on my head, very good bass. And I am not an audiophile. Again 2 thumbs up for 3rd day delivery form the purchase day. Sound is superb, great bass coz I own k3 note.Bluetooth works good and battery backup also good easily u play movies or music UpTo 6 hours and takes 2 hour to charge.Thank you Flipkart.READ MORE",5
118,2,19724,"I have purchased these headphones at around 1080 Rs .on the freedom sale of flipkart. Thanks for the super fast delivery as always. These are the Bluetooth headset  with great sound,Bass is not that great ,but its ok ,and more importantly the Battery life is awesome. For Bluetooth headset battery life was always concern but this is perfect.in terms of battery.And also one good thing is that u can receive call as well. also u will get aux cable in case u want to use with ur mobile through 3.5 ...READ MORE",5
119,2,19729,Item sound not so good and refund option is not available . Plz don't go for this item. Totly wastage of timeREAD MORE,1
120,2,19942,These headphones are absolute garbage. I have been using them for about a month now and already one side has stopped working . so disappointed.READ MORE,2
121,2,21217,Disappointed by the sound quality but delivers good bass.. battery backup is good to be honest..Also has good comfortable cushions for ears..if you are interested in sound quality better look for JBL or Sony..READ MORE,3
122,2,21228,"sound clarity good, Bass super and extrdinary build quality nice super product. I like itREAD MORE",4
123,2,21487,Excellent product with good sound and price.Good quality and nice product.It is very light wate.I like this headset.It is very work full. And it works both jack and bluetooth. It is talking headphone with powerful speaker.READ MORE,5
124,2,21733,I am writing this review after using one week.i can happily say that this headphone is awesome.sound is pretty good.Bass and design is also good.And most important thing is it perfectly tight in ears.This is much worthy product at this price range.I got it only 1050 in sale.But price is enough to buy this product.Believe me go for it you will never regret at this range.😍READ MORE,5
125,2,22602,"The looks and design is simply awesome of this headphone. The day I received this item, I was so glad but after using it, I feel that the sound is flickering and hanging and this increased to the great extent.And the range of the connection is not decent at all, it got either disconnected or hanging at 4-5 meter range in a room.Unfortunately, you can't return this product to get refund. If you want you can replace this.One thing, if I had a opportunity to take decision, I will go with M...READ MORE",3
126,2,23612,"One of the best headset at this price range , the thing that I like about this is it's capability of wired connection if your battery isn't charged you can use with the cable provided and I believe that the sound quality is better in wired connection as compared to the Bluetooth, i would definitely recommend you to buy this , one of the best at this range.READ MORE",4
127,2,24499,Nice design it is very good product sounding is nice it wire and wireless they will aux. but it will not connect to dell laptopREAD MORE,4
128,2,24834,Nice and satisfying product. Sound quality time s superb and support bass till you can listen.READ MORE,5
129,2,25164,"Awesome quality headset. Noise cancelation. Bass is too good. Best for listening music. Build quality is good little big for me but too good. I got it 964 only . I write this review after 2 weeks, so for me it is value for money.READ MORE",5
130,2,25182,Very nice products battery backup is very nice and sound awesome or bass superbREAD MORE,5
131,2,26145,I got this for my son's online schooling. He's finding it helpful so far.Pro's:Looks are goodSound quality is goodFits well & Doesn't heatCon's:Speaker/Mic is not very clear at times; Voice is breakingContinuous usage causes ear pain / discomfort (take breaks) The volume control buttons doesn't work wellREAD MORE,4
132,2,26629,"So fast so good. Pros: Good sound quality, good bass,  good battery life.. Cons: microphone is not as good as  in our wired ones, may be because of its position. Sometimes our voice is not audible at receiving end. Otherwise excellent product, worth for the money.READ MORE",4
133,2,27499,Product is too good but delivery  is not nice my best suggestion  is not to order on flipkart  its takes more time to deliver the product and my box is open when I receive  it.READ MORE,5
